,sid,grp,cnd,fam,tid,tord,pc_grand,pc_first,pc_last,dpc,alltime,freetime,nblocks,avstreak,lrn,int,comp,time,prog,rule,lrn2,nlrn,nint,ncomp,ntime,nprog,nrule,nlrn2,lp1,lp2,lp3,ntm,good_ord
743,200,S,i-,Bear,4_R,2,0.49324324324324326,0.6666666666666666,0.3333333333333333,0.0,0.4774193548387097,0.532,2,66.5,7,9,10,9,6,4,8,0.8928571428571432,2.8928571428571432,3.8928571428571432,2.8928571428571432,-0.10714285714285676,-2.1071428571428568,1.8928571428571432,0,0,13,3,True
744,201,S,i+,Squid,1_1D,4,0.4827586206896552,0.4666666666666667,0.5333333333333333,0.06666666666666665,0.0935483870967742,0.056,2,7.0,8,10,2,4,9,10,2,1.3571428571428568,3.3571428571428568,-4.642857142857143,-2.6428571428571432,2.3571428571428568,3.3571428571428568,-4.642857142857143,250,45,250,1,False
745,201,S,i+,Bear,2_I1D,3,0.5422535211267606,0.6666666666666666,0.8,0.13333333333333341,0.45806451612903226,0.508,3,42.333333333333336,8,7,7,9,6,9,7,1.3571428571428568,0.35714285714285676,0.35714285714285676,2.3571428571428568,-0.6428571428571432,2.3571428571428568,0.35714285714285676,250,45,250,1,False
746,201,S,i+,Bunny,3_2D,2,0.5272727272727272,0.4,0.6666666666666666,0.2666666666666666,0.1774193548387097,0.16,2,20.0,8,3,9,8,3,2,9,1.3571428571428568,-3.6428571428571432,2.3571428571428568,1.3571428571428568,-3.6428571428571432,-4.642857142857143,2.3571428571428568,250,45,250,1,False
747,201,S,i+,Green,4_R,1,0.5,0.4,0.4666666666666667,0.06666666666666665,0.2709677419354839,0.276,4,17.25,8,5,10,8,3,2,10,1.3571428571428568,-1.6428571428571432,3.3571428571428568,1.3571428571428568,-3.6428571428571432,-4.642857142857143,3.3571428571428568,250,45,250,1,False
748,202,S,i-,Green,1_1D,1,0.7910447761194029,0.4666666666666667,0.8666666666666667,0.4,0.2161290322580645,0.208,5,10.4,5,10,1,8,10,10,1,-0.7142857142857144,4.285714285714286,-4.714285714285714,2.2857142857142856,4.285714285714286,4.285714285714286,-4.714285714285714,65,125,22,3,False
749,202,S,i-,Bear,2_I1D,4,0.7981651376146789,0.6666666666666666,0.9333333333333333,0.2666666666666667,0.35161290322580646,0.376,6,15.666666666666666,3,10,1,9,9,10,2,-2.7142857142857144,4.285714285714286,-4.714285714285714,3.2857142857142856,3.2857142857142856,4.285714285714286,-3.7142857142857144,65,125,22,3,False
750,202,S,i-,Squid,3_2D,2,0.7777777777777778,0.8,0.8,0.0,0.26129032258064516,0.264,5,13.2,3,8,5,6,7,7,5,-2.7142857142857144,2.2857142857142856,-0.7142857142857144,0.2857142857142856,1.2857142857142856,1.2857142857142856,-0.7142857142857144,65,125,22,3,False
751,202,S,i-,Bunny,4_R,3,0.4716981132075472,0.4,0.26666666666666666,0.0,0.17096774193548386,0.152,3,12.666666666666666,9,2,10,1,2,2,4,3.2857142857142856,-3.7142857142857144,4.285714285714286,-4.714285714285714,-3.7142857142857144,-3.7142857142857144,-1.7142857142857144,65,125,22,3,False
752,203,S,i-,Green,1_1D,1,0.8979591836734694,0.8,0.9333333333333333,0.1333333333333333,0.15806451612903225,0.136,2,17.0,8,1,1,3,10,10,1,2.2142857142857144,-4.785714285714286,-4.785714285714286,-2.7857142857142856,4.214285714285714,4.214285714285714,-4.785714285714286,50,33,0,3,False
