sid,grp,tid,nlrn,nint,ncomp,ntime,nprog,nrule,nlrn2,lrn,int,comp,time,prog,rule,lrn2
293,1,1,3.571428571428571,-1.4285714285714288,-1.4285714285714288,-0.4285714285714288,2.571428571428571,3.571428571428571,-5.428571428571429,10,5,5,6,9,10,1
293,1,2,-4.428571428571429,-0.4285714285714288,-3.428571428571429,-4.428571428571429,0.5714285714285712,3.571428571428571,-5.428571428571429,2,6,3,2,7,10,1
293,1,3,-2.428571428571429,0.5714285714285712,1.5714285714285712,0.5714285714285712,2.571428571428571,1.5714285714285712,-3.428571428571429,4,7,8,7,9,8,3
293,1,4,2.571428571428571,3.571428571428571,3.571428571428571,3.571428571428571,-1.4285714285714288,-3.428571428571429,3.571428571428571,9,10,10,10,5,3,10
294,1,1,1.0,3.0,-4.0,-1.0,1.0,-1.0,2.0,8,10,3,6,8,6,9
294,1,2,1.0,-1.0,0.0,-1.0,0.0,-1.0,1.0,8,6,7,6,7,6,8
294,1,3,1.0,0.0,1.0,1.0,-3.0,-1.0,2.0,8,7,8,8,4,6,9
294,1,4,2.0,-1.0,-3.0,-1.0,1.0,1.0,0.0,9,6,4,6,8,8,7
295,1,1,-3.071428571428571,-2.071428571428571,-3.071428571428571,-4.071428571428571,3.928571428571429,4.928571428571429,-4.071428571428571,2,3,2,1,9,10,1
295,1,2,2.928571428571429,-2.071428571428571,-3.071428571428571,-3.071428571428571,3.928571428571429,4.928571428571429,-4.071428571428571,8,3,2,2,9,10,1
295,1,3,2.928571428571429,0.9285714285714288,1.9285714285714288,-2.071428571428571,4.928571428571429,2.928571428571429,-3.071428571428571,8,6,7,3,10,8,2
295,1,4,-1.0714285714285712,0.9285714285714288,2.928571428571429,3.928571428571429,0.9285714285714288,-4.071428571428571,-4.071428571428571,4,6,8,9,6,1,1
296,1,1,1.3928571428571432,-1.6071428571428568,-1.6071428571428568,-1.6071428571428568,-0.6071428571428568,1.3928571428571432,1.3928571428571432,8,5,5,5,6,8,8
296,1,2,-0.6071428571428568,-1.6071428571428568,1.3928571428571432,1.3928571428571432,2.3928571428571432,1.3928571428571432,-0.6071428571428568,6,5,8,8,9,8,6
296,1,3,1.3928571428571432,-1.6071428571428568,1.3928571428571432,1.3928571428571432,1.3928571428571432,0.39285714285714324,-0.6071428571428568,8,5,8,8,8,7,6
296,1,4,0.39285714285714324,-1.6071428571428568,-1.6071428571428568,-1.6071428571428568,-0.6071428571428568,-0.6071428571428568,-0.6071428571428568,7,5,5,5,6,6,6
297,1,1,3.2857142857142856,4.285714285714286,-3.7142857142857144,-4.714285714285714,4.285714285714286,4.285714285714286,-4.714285714285714,9,10,2,1,10,10,1
297,1,2,-2.7142857142857144,4.285714285714286,-4.714285714285714,-2.7142857142857144,4.285714285714286,4.285714285714286,-4.714285714285714,3,10,1,3,10,10,1
